Obersparte	Untersparte	Sparten-Nr.
	Ratgeber - Bewerbung	758
	Demenz	2761
	Ratgeber - Erfolg	2201
	Ratgeber - Ernährung	1324
	Ratgeber - Erziehung	766
	Ratgeber - Familie	1385
	Ratgeber - Feste & Feiern	2672
	Ratgeber - Finanzen	764
	Ratgeber - für Frauen	1927
	Ratgeber - Gesundheit	763
	Heim und Garten	649
	Ratgeber - Karriere	757
	Ratgeber - Kindergarten	1819
	Ratgeber - für Männer	1928
	Ratgeber - Kosmetik/Beauty	1322
	Ratgeber - Partnerschaft	792
	Pflege - Ratgeber	2666
	Ratgeber - Psyche/Lebenshilfe	765
	Ratgeber - Recht	1323
	Ratgeber - Rhetorik	2203
	Ratgeber - Schreiben	2202
	Ratgeber - Schule/Lernhilfen	1818
	Schwangerschaft/Geburt	1320
	Ratgeber - Sexualität	2017
	Steuern	731
	Ratgeber - Studieren	759
	Ratgeber - Tod/Sterben	2705
	Ratgeber - Umweltschutz	1985
	Ratgeber - Unternehmen	760
	Ratgeber - Verbraucherschutz	1986
	Ratgeber - Wohnen/Einrichten	2706
	Sonstiges - Ratgeber	647
(Auto-)Biographie/Briefe		
	Adel (biographisch)	2664
	Briefe	847
	Tagebücher	848
	Schicksale (biographisch)	767
	Frauen (biographisch)	852
	Künstler/innen (biographisch)	614
	Militärs (biographisch)	1373
	Musiker/innen (biographisch)	613
	Philosophen/Theologen (biographisch)	2684
	Politiker/innen (biographisch)	612
	Religiöse Personen (biographisch)	2847
	Schauspieler/innen (biographisch)	1344
	Schriftsteller/innen (biographisch)	1348
	Sportler/innen (biographisch)	2598
	Unternehmer/innen (biographisch)	2983
	Wissenschaftler/innen (biographisch)	697
	Sonstiges - Biographien	548
Comics/Sci-Fi/Fantasy		
	Comics	589
	Carlsen	787
	DC-Comics	841
	Deutsche Comics	1346
	Disney	782
	Englische Comics	784
	Fantasy	688
	Formwandler/Gestaltwandler	2715
	Franco-Belgisch	790
	Graphic Novel	2418
	Horror	786
	Independent	789
	Karikaturen/Cartoons	1355
	Manga	785
	Marvel	783
	Military-SF	2714
	Perry Rhodan	1815
	Piccolo's	788
	Rollenspiele	762
	Science Fiction	618
	Vampir-Romane	2576
	Comics/SF-Sekundärliteratur	2853
	Sonstiges - Comics/SF	623
Computer/Multimedia		
	Betriebssysteme	560
	Datenbanken	663
	Hardware	559
	HTML/Webdesign	956
	Informatik	212
	Internet	563
	Java	959
	Linux	957
	Mac	958
	Netzwerktechnik	564
	PHP	955
	Programmierung	561
	Sicherheit/Kryptographie	700
	über Software-Authoring	568
	über Audio-Software	566
	über Kinder-Software	727
	über Lernsoftware	728
	Über Office-Software	836
	über Grafik-Software	558
	über Microsoft-Software	567
	über SAP-Software	1967
	über Spiele/Lösungsbücher	569
	Medienwissenschaft	322
	Computer-Zeitschriften	695
	Multimedia allgemein	343
	Computer allgemein	565
	Sonstiges - Computer/Multimedia	2
Kochbücher/Ernährung		
	Ernährung allgemein	106
	Diäten	1339
	Ernährung für Allergiker	2974
	Genussmittel/Drogen	829
	Gesundheit allgemein	169
	Haushalts- und Ernährungswissenschaft	182
	Lebensmittelkunde	2967
	Ratgeber - Ernährung	1324
	Ratgeber - Gesundheit	763
	Afrikanische Küche	2654
	Amerikanische Küche	2655
	Arabische Küche	2653
	Asiatische Küche	1333
	Backen	1332
	Desserts	1335
	Deutsche Küche	2652
	Einkochen/Marmelade	2935
	Festlich kochen	2906
	Fischgerichte	2975
	Fleischgerichte	2972
	Französische Küche	2680
	Gewürze/Kräuter	1340
	Grillen/Barbecue	2911
	Italienische Küche	2681
	Karibische Küche	2658
	Kochbücher allgemein	622
	Kochbücher für Kinder	2901
	Konditoren-/Bäckerhandwerk	1872
	Mediterrane Küche	2651
	Österreichische Küche	2768
	Osteuropäische Küche	2656
	Ozeanische Küche	2922
	Pasta/Teigtaschen	2913
	Pilze	814
	Salate	2912
	Saucen/Dips	1341
	Schweizer Küche	2767
	Skandinavische Küche	2657
	Spanische Küche	2682
	Suppen/Eintöpfe	2973
	Thermomix/Kochautomaten	3060
	Vegane Küche	2659
	Vegetarische Küche	1334
	Vollwertküche	1342
	Vorspeisen	1343
	Alkoholfreie Getränke	1347
	Bier	2986
	Cocktails	1337
	Getränke allgemein	1028
	Spirituosen	1338
	Tee/Kaffee	1382
	Wein	1336
	Sonstiges - Kochbücher/Ernährung	593
Meditation/Esoterik		
	Alchemie	2020
	Anthroposophie	1855
	Astrologie allgemein	1019
	Bewußtseinszustände	950
	Esoterik-Zeitschriften	952
	Esoterisches Heilen	951
	Geister/Engel	941
	Grenzwissenschaften	2530
	Horoskope	1001
	Hypnose	942
	Magie/Hexen	944
	Meditation	610
	Mystik/Mysterien	947
	Mythologie	1968
	Okkultismus	946
	Parapsychologie	609
	Prophezeiungen	939
	Qigong	2796
	Radiästhesie	2535
	Schamanismus	1290
	Sternzeichen	937
	Tod/Wiedergeburt	940
	Träume	943
	Ufos/Außerirdische	949
	Wahrsagen/Tarot	938
	Zen/I Ging	948
	Mond/Planeten	1002
	Sonstiges - Esoterik	591
	Sonstiges - Astrologie	608
Kinderbücher/Jugendbücher		
	Jugendbücher vor 1945	1709
	Kinderbücher vor 1945	1708
	Kinder- und Jugendbuch-Klassiker	2985
	Alte Kinderbücher	1310
	Alte Jugendbücher	1311
	Astrid Lindgren	2951
	Aufklärung/Pubertät	1314
	Bastelbücher für Kinder	1389
	Bilderbücher	625
	DDR Kinder- & Jugendbücher	1860
	Disney-Kinderbücher	1309
	Englische Kinderbücher	976
	Enid Blyton	1308
	Fibeln	2964
	Geschichten für Jungen	2691
	Geschichten für Mädchen	1809
	Grusel/Spannung	1940
	Gute-Nacht-Geschichten	1313
	Harry Potter	1307
	Historische Kinder-/Jugendbücher	3029
	Janosch	1305
	Jugendbuch allgemein	690
	Jugend-Fantasy/SF	1317
	Jugend-Krimi/Abenteuer	1315
	Jugendzeitschriften	1247
	Karl May	1354
	Kinderbuch allgemein	691
	Kinder-/Jugendlexika	1306
	Kinderlieder/Reime	1316
	Kinderzeitschriften	1246
	Kochbücher für Kinder	2901
	Lesen lernen/Erstleser	1984
	Malbücher	2000
	Märchen/Sagen	624
	Minibücher	2200
	Naturgeschichten	1905
	Ostern	2899
	Pferdebücher	2514
	Pixi-Bücher	1983
	Pop-up-Bücher	2791
	Religiöse Jugendbücher	2689
	Religiöse Kinderbücher	1312
	Sach-/Wissensbücher	844
	Schulgeschichten	1906
	Spielebücher	1394
	Spannend erzählt (DDR-Reihe)	2787
	Sportgeschichten	2707
	Tiergeschichten	1393
	Weihnachten	2898
	für Kinder ab 0	1302
	für Kinder ab 3	2687
	für Kinder ab 6	1303
	für Kinder ab 10	1304
	Sonstiges - Kinder/Jugendbücher	16
Romane/Erzählungen		
	Abenteuer/Western	735
	Adelsromane	2710
	Aktuelle Bestseller	775
	Anthologien	1957
	Arztromane	1358
	Bertelsmann Lesering	1352
	Biographische Erzählungen	1231
	Bücher zu Film/Fernsehen	774
	CORA-Romane	2649
	Detektiv-Romane	1719
	Entwicklungsroman	2948
	Essays	771
	Erotische Erzählungen	631
	Erzählungen	1327
	Exilliteratur	2905
	Familienromane	1386
	Fantasy	689
	Frauen	692
	Gay/Schwul	825
	Gesamtausgaben/Werkausgaben	1897
